borough,date,open,cleaned,watered,resurfaced
Ahuntsic - Cartierville,2001-12-21,0,0,0,0
Ahuntsic - Cartierville,2002-01-04,0,0,0,0
Ahuntsic - Cartierville,2002-01-05,0,0,0,0
Ahuntsic - Cartierville,2002-01-08,0,0,0,0
Ahuntsic - Cartierville,2002-01-09,0,0,0,0
Ahuntsic - Cartierville,2002-01-10,0,0,0,0
Ahuntsic - Cartierville,2002-01-11,0,0,0,0
Ahuntsic - Cartierville,2002-01-14,0,0,0,0
Ahuntsic - Cartierville,2002-01-15,0,0,0,0
Ahuntsic - Cartierville,2002-01-16,0,0,0,0
Ahuntsic - Cartierville,2002-01-17,0,0,0,0
Ahuntsic - Cartierville,2002-01-18,0,0,0,0
Ahuntsic - Cartierville,2002-01-21,0,0,0,0
Ahuntsic - Cartierville,2002-01-22,0,0,0,0
Ahuntsic - Cartierville,2002-01-23,0,0,0,0
Ahuntsic - Cartierville,2002-01-26,0,0,0,0
Ahuntsic - Cartierville,2002-01-27,0,0,0,0
Ahuntsic - Cartierville,2002-01-28,0,0,0,0
Ahuntsic - Cartierville,2002-01-29,0,0,0,0
Ahuntsic - Cartierville,2002-01-30,0,0,0,0
Ahuntsic - Cartierville,2002-01-31,0,0,0,0
Ahuntsic - Cartierville,2002-02-01,NA,NA,NA,0
Ahuntsic - Cartierville,2002-02-03,20,18,NA,0
Ahuntsic - Cartierville,2002-02-04,20,NA,NA,0
Ahuntsic - Cartierville,2002-02-05,NA,18,NA,0
Ahuntsic - Cartierville,2002-02-06,NA,18,18,0
Ahuntsic - Cartierville,2002-02-07,21,19,19,0
Ahuntsic - Cartierville,2002-02-08,21,19,19,0
Ahuntsic - Cartierville,2002-02-09,21,19,19,0
Ahuntsic - Cartierville,2002-02-10,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-11,42,38,NA,0
Ahuntsic - Cartierville,2002-02-13,21,19,19,0
Ahuntsic - Cartierville,2002-02-14,21,19,19,0
Ahuntsic - Cartierville,2002-02-15,21,19,NA,0
Ahuntsic - Cartierville,2002-02-16,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-17,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-19,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-20,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-21,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-22,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-23,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-24,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-25,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-26,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-27,NA,19,NA,0
Ahuntsic - Cartierville,2002-02-28,NA,19,NA,0
Ahuntsic - Cartierville,2002-03-01,NA,NA,NA,0
Ahuntsic - Cartierville,2002-03-02,NA,19,NA,0
Ahuntsic - Cartierville,2002-03-04,NA,0,NA,0
Ahuntsic - Cartierville,2002-03-05,NA,NA,NA,0
Ahuntsic - Cartierville,2002-03-06,NA,NA,NA,0
Ahuntsic - Cartierville,2002-03-07,NA,NA,NA,0
Ahuntsic - Cartierville,2002-03-08,NA,19,NA,0
Ahuntsic - Cartierville,2002-03-09,NA,NA,NA,0
Ahuntsic - Cartierville,2002-03-11,NA,19,NA,0
Ahuntsic - Cartierville,2002-09-28,0,0,0,0
Ahuntsic - Cartierville,2002-11-20,NA,0,0,0
Ahuntsic - Cartierville,2002-12-03,0,0,0,0
Ahuntsic - Cartierville,2002-12-19,NA,19,19,0
Ahuntsic - Cartierville,2002-12-20,NA,0,0,0
Ahuntsic - Cartierville,2002-12-21,NA,0,0,0
Ahuntsic - Cartierville,2002-12-22,NA,0,0,0
Ahuntsic - Cartierville,2002-12-24,21,19,NA,0
Ahuntsic - Cartierville,2002-12-27,NA,19,19,0
Ahuntsic - Cartierville,2002-12-28,NA,19,19,0
